model,base_model,dataset_id,scaled_MASE,series_count,variate_count,stationarity,x_entropy,temporal_location_heterogeneity,temporal_scale_heterogeneity,temporal_frequency_heterogeneity,temporal_heterogeneity,trend_strength,trend_stability,trend_hurst,trend_nonlinearity,linearity,curvature,seasonal_strength,seasonal_corr,seasonal_lumpiness,seasonal_entropy,e_acf1,e_acf10,e_diff1_acf1,e_entropy,e_kurtosis,e_shapiro_w,e_arch_lm,spike,mean,std,missing_rate,length,period1,period2,period3,p_strength1,p_strength2,p_strength3,spatial_location_heterogeneity,spatial_scale_heterogeneity,spatial_frequency_heterogeneity,spatial_heterogeneity
chronos2,chronos2,Australia_Solar/H,0.8941530808312186,1,3,1.0,0.3171994237903914,0.0327991003336265,0.0128518931432315,0.0431846442970946,0.0296118792579842,0.8693474999257623,0.2071698761352316,0.8456911166950559,0.0002441709007685,27.37582239313994,-4.626884703604833,0.9468416421451362,0.9251014014473596,0.2039493386445178,0.1307956789005348,0.9144038038195764,2.56776050511443,0.4857697608824265,0.7490315466485513,2.971227114403844,0.9662677562936968,0.8508928533394831,5.655393572435301e-12,235492.43782618907,249606.94349500592,0.1826184500722488,35064.0,24.0,12.0,168.0,0.1313333333333333,0.0469999999999999,0.0133333333333333,0.149821303788932,0.4729444805776552,0.1122401960817499,0.245001993482779
chronos2,chronos2,Auto_Production_SF/M,0.6272780561526403,1,1,0.0,0.4955943372412884,0.0007772413876798,0.0115858067757248,0.0229427827070215,0.011768610290142,0.0199763243729682,0.0017029035051789,0.8808908320757107,0.103164381203646,0.1117751861994649,-0.4430602770935696,0.8705385476401412,0.9694430839098216,0.0515758104579144,0.4077876999697701,-0.4963988538643563,1.523996508303045,-0.5923861261542503,0.553197705612797,-0.4959174941960969,0.9657438589666206,0.052684907905602,1.8726604059764682e-07,100.01681199450584,11.787485899985752,0.0,367.0,12.0,,,0.034,,,0.0,0.0,0.0,0.0
chronos2,chronos2,CPHL/15T,0.6497987580892884,2,2,1.0,0.550979231776243,0.1981463537538962,0.1203047797927827,0.0818908773104682,0.1334473369523824,0.9552660555823644,0.9134695173205338,0.8525735031074656,0.0250183242824355,4.257982803784124,25.479799435480203,0.1816140689180053,0.0020702023847376,0.0010005994334285,0.716785230677295,-0.4544709455461342,0.3457040382072695,-0.6234708388290644,0.9012511101718536,22.954652965670867,0.7737403715321511,0.221423087043127,6.485245833851314e-10,0.5987613917134587,0.2987598395116531,0.0016603616340297,10393.5,4.0,96.0,48.0,0.1025,0.0295,0.0209999999999999,0.0280733680769395,0.0890455347494383,0.0258000647999718,0.0476396558754499
chronos2,chronos2,CPHL/30T,0.7736766162739162,2,2,1.0,0.5504301953114648,0.1269769071600043,0.1459090485643708,0.0793748005951835,0.1174202521065195,0.9592117160175516,1.0776830992481206,0.9477657501243222,0.047522002176844,-6.356525618200942,12.770152930296126,0.1657220656698351,0.0005999681062029,0.003104235429333,0.6941540794138834,-0.4753001350157559,0.443484699561235,-0.604530797413769,0.8955344378394545,11.462642097716913,0.8373674933152577,0.1647667030481442,1.6671341998355303e-10,0.6768975721268844,0.5364371797653703,0.0742783767962067,14687.0,2.0,24.0,48.0,0.0935,0.0435,0.026,0.101608499351279,0.508529846398097,0.0621702085085704,0.2241028514193155
chronos2,chronos2,CPHL/H,0.8231095300657097,4,4,1.0,0.5749401146097006,0.1710621016102709,0.1262738613504713,0.0669798335084317,0.121438598823058,0.8305667333568084,0.7045861927112815,0.8713675050611981,0.0061719476965167,-1.1272378425286878,10.760218312363437,0.3908805228783679,0.3752735289397607,0.0090130452798561,0.5054427876040251,0.4918477109799619,0.5361403171466891,-0.1688602191766952,0.8472274593894144,4.428965554365542,0.9251332274509791,0.2433312876804396,2.272879702040197e-08,0.655339261202945,0.419613726976868,0.0201565931213507,4971.25,18.0,18.0,168.0,0.05675,0.038,0.012,0.116634056261489,0.3616933160672496,0.1651761328107824,0.2145011683798403
chronos2,chronos2,Coastal_T_S/15T,0.8365190045983603,5,15,1.0,0.5333361963837653,0.3218971727007633,0.2002442254365517,0.0860777681324636,0.2027397220899262,0.8100681648413264,0.7260235187248443,0.9242801305897588,0.0497651748083555,6.612548624394219,39.28980456211231,0.1933095869623698,0.0011232052168086,0.0059953075538965,0.7414166125841731,-0.4291687098922606,0.3350851975766346,-0.6039141072079063,0.9071987102168828,15.94692274513796,0.8454144099934502,0.2675121866287817,3.4625486081253316e-10,34.90331579971408,4.845595955136805,0.0,20870.2,4.0,64.0,121.6,0.1234666666666666,0.0156666666666666,0.0116666666666666,0.6891946544591633,0.9742693217983946,0.1641387501283635,0.6092009087953072
chronos2,chronos2,Coastal_T_S/20T,0.6059776505619268,1,3,0.6666666666666666,0.2719033711622571,0.4490877399906259,0.0495697244393052,0.0431250050406105,0.1805941564901806,0.937342205408174,0.6479516816006651,0.892687035789538,0.0021346089115715,45.51453141338276,1.2864477674264927,0.5932799606053553,0.4688501992458772,0.0418081121393813,0.3271941718103735,0.7033335210157169,3.2561609327085947,0.3017157161937507,0.6460534545492423,3.5597608231191846,0.9477349452286444,0.6622570047896837,4.98484102598297e-11,25.007658740199755,1.0402504470520386,0.0,8198.0,25.0,60.0,193.0,0.1136666666666666,0.088,0.0226666666666666,0.9848306517062084,0.4629266131993996,0.037462743265987,0.4950733360571983
chronos2,chronos2,Coastal_T_S/5T,0.773264897144477,18,54,0.8333333333333334,0.4197139008947709,0.4392177905151463,0.2568652204832139,0.0986252619155511,0.2649027576379704,0.8012828129325487,0.7416322685554019,1.0763186178417152,0.0210451197204797,-9.216277899746965,-17.24340461785,0.2205095245765363,0.0217320232729627,0.0108930230107642,0.7437743633150333,0.0577479391669953,0.572714101011687,-0.4458635239257123,0.9095236828702802,45.547485219126415,0.7230377918339708,0.412157881543963,1.2473084648122127e-10,45.17242573157538,8.741681692403596,2.848050323810926e-05,68604.94444444444,24.444444444444443,195.11111111111111,291.1111111111111,0.0503888888888888,0.0160925925925925,0.0095925925925925,0.8124163410121167,0.9836522387305894,0.1895334358113089,0.661867338518005
chronos2,chronos2,Coastal_T_S/H,0.8045326342690204,24,72,0.5138888888888888,0.3696279504736554,0.4801759374525652,0.2324434232022417,0.0834528503113097,0.2653574036553723,0.9014010088175668,0.7987436232138787,0.9751212699117828,0.0342696018374726,-0.2384718737945223,0.0556122298876121,0.3838992821501097,0.1201717046905504,0.0126536526086727,0.5666306889662791,0.338831116273029,0.6467741783600842,-0.2041870425567487,0.8427611193010611,23.761009095888863,0.8511410609872632,0.325145690030036,2.3628636776052973e-09,42.16878872204047,5.862541712569983,0.0,5488.791666666667,16.333333333333332,26.0,207.66666666666663,0.0578472222222222,0.0318194444444444,0.0119305555555555,0.8593121273546996,0.9724510558503446,0.2262271977720811,0.6859967936590419
chronos2,chronos2,Commodity_Import/M,0.7956903841503931,8,8,0.5,0.5207467295333459,0.4274456571017218,0.225088138608846,0.0683669434231379,0.2403002463779019,0.8152918894842613,0.6181611768532006,0.967970253354518,0.4979576383068892,12.510159452995412,0.5933846932909923,0.4434211550675767,0.5158780294751304,0.0240531094819807,0.4673968997862034,0.1416766076772089,0.1801039126754927,-0.4136562652863652,0.8769704926669257,8.726335094090741,0.9214417239191626,0.1695615758437802,5.552920748802479e-07,1711.8085676632486,821.5890649957756,0.0,697.25,12.0,,,0.069125,,,0.7413117102933117,0.9884605626293216,0.1385849054344105,0.6227857261190145
chronos2,chronos2,Commodity_Production/M,0.741941898777288,32,32,0.25,0.4752739526898505,0.4612008493306847,0.103014026017359,0.0552115041781396,0.2064754598420611,0.8876663170021518,0.6994516530222565,0.949432721571802,0.2699246886851342,5.210539624671895,0.9093301843656006,0.5170582432423955,0.6613339221703619,0.0129947895856354,0.4738496662684391,0.494183433229989,0.607630622092004,-0.110630021973984,0.7954174681631017,2.765402647246374,0.955006913410843,0.2615167199996469,1.2088125895078666e-06,552.4914030623049,213.51536108751267,0.0,325.09375,12.0,,,0.07315625,,,0.8470239273464645,0.9893200043215278,0.1143065651071154,0.6502168322583693
chronos2,chronos2,Crypto/D,1.0097000501280702,1,4,0.5,0.3397465385716287,0.366403068790281,0.344577775737762,0.0291242904129497,0.2467017116469976,0.9968079014407228,0.9866539149107724,0.9302937085750316,0.0827418905416497,15.768727504525083,9.83533451613637,0.1796428355064216,0.0476213332915578,2.2652586254874808e-05,0.6991575421239018,0.4024224529631045,0.3529747929196439,-0.1031016971244061,0.8879805410922684,24.88083296261278,0.7977195870047464,0.2186145364256985,7.350579577604703e-11,9317.14403087098,8048.891685511026,0.0,2842.0,7.0,30.0,91.0,0.0435,0.03475,0.02425,0.4878311028402927,0.9954849261282488,0.0149340094698419,0.499416679479461
chronos2,chronos2,ECDC_COVID/D,0.9176932756570406,9,9,0.5555555555555556,0.3457671154272869,0.2573408843347028,0.4234068642680054,0.0313877398414725,0.2373784961480603,0.857851056999197,0.624677572393787,0.9134271003128364,2.2641303509618163,-5.980258603000935,-9.162739058578676,0.6039815955674972,0.6685100767512209,0.147436492368051,0.3564289818061845,0.6345516192608266,4.410322061041983,-0.0328330841034938,0.6325584866179027,28.67226003481273,0.8591758662387998,0.6023518769624904,4.4149145049595424e-08,1178.7194582772938,1260.243982282488,0.0356538570878707,1116.5555555555557,145.0,96.0,29.11111111111111,0.0735555555555555,0.0313333333333333,0.0212222222222222,0.29931841339611,0.8824388165731276,0.0402344234564004,0.4073305511418794
chronos2,chronos2,ECDC_COVID/W,0.9468634994013284,16,16,0.375,0.5051120634930253,0.2586800729566657,0.4210060274718514,0.0531841031942817,0.2442900678742663,0.8086990073978594,0.4846253999424146,0.89654327595778,1.3351674233476427,-3.0333962025870376,-3.26970506462433,0.4056072036335555,0.5085353841662937,0.1164068890676596,0.4328171366608809,0.809820800680823,1.9641181811878472,0.5179088479411458,0.5901859910737131,1.932632623056041,0.93838932608577,0.721154030076073,3.725384575604078e-06,2431.8516634522102,1870.3949021959927,0.0159220349274522,165.4375,22.1875,20.6875,26.125,0.1275625,0.07025,0.0375625,0.6531910181326371,0.973824112310234,0.0676372458453092,0.5648841254293934
chronos2,chronos2,EWELD_Load/15T,0.6996057374833989,1,10,1.0,0.4141998857399619,0.0733107708303457,0.086280356408378,0.0688772127366593,0.0761561133251277,0.9587707662127786,0.8981359388580653,0.8069531601558051,0.0285803100722144,-16.22693789378448,-1.5793764095277232,0.2086166010817741,0.1271950953562807,0.0003568685439503,0.6545443880880113,-0.249963608722411,0.2178778211907377,-0.5218511563074658,0.8542339242648749,42.36071824090319,0.7988721368689473,0.1611798210376684,5.840157318461667e-11,88.78947081879645,40.94921926989749,0.0,20544.0,4.0,91.2,52.8,0.0978,0.0465999999999999,0.0236,0.7183443262607857,0.7894768165721051,0.179995054874043,0.5626053992356446
chronos2,chronos2,Finland_Traffic/15T,0.6065754620733413,1,1,1.0,0.2123150745387509,0.0336459810482328,0.0208584067581643,0.0680242022490609,0.0408428633518193,0.9924225642307324,0.9666200541395524,1.169901007314185,0.0033976783179911,11.950154856088416,-35.13166623110722,0.1869593626575397,0.0328650820381213,3.6101934851706447e-06,0.7165919623199547,-0.3726547013573016,0.2544109486893242,-0.5921293471132301,0.8849658025145425,2.1409901251850583,0.9720408879029888,0.1232070574300168,1.9191066923966237e-13,153.74248633879782,121.41988174354286,0.0,35136.0,4.0,96.0,48.0,0.096,0.065,0.048,0.0,0.0,0.0,0.0
chronos2,chronos2,Global_Influenza/W,0.6352501786041488,15,60,0.7,0.5260651238603815,0.1645090000959444,0.1190417621264492,0.0414467477713153,0.1083325033312363,0.7688819157531804,0.5218114487071246,0.871167295921164,0.6267670935947518,2.1138524040063644,-0.5321612364467163,0.4378360770640089,0.4173093209401118,0.0493725534134322,0.5204902783844961,0.2312192590387785,0.7723489144560066,-0.2269756755297811,0.763921470497833,6.26496847588748,0.8846960340589803,0.3259800802989069,3.403324801212409e-06,2279.446972080664,1204.7094257567433,0.0189901601298815,205.6,21.05,24.75,23.2,0.1406833333333333,0.10095,0.0725499999999999,0.8154425032113438,0.9586883671223032,0.0644715893657217,0.6128674865664562
chronos2,chronos2,Global_Price/Q,0.7670994049743153,1,60,0.2666666666666666,0.475694878544839,0.5388525337912571,0.2939466978882122,0.0518719946365952,0.2948904087720215,0.9760823590092804,0.8868934273820633,0.9612017744767204,0.344946797217725,7.3732140858445,0.1606496320794925,0.262325344393109,0.4272212535644326,0.0005680489760049,0.4844346077449179,0.0151531312467025,0.4076794822615736,-0.3217424968589663,0.8352905446808301,7.599330984253328,0.8829419281828701,0.2398069474001063,6.544062321050684e-07,958.718089217926,495.2163575310869,0.0065727699530516,142.0,4.0,,,0.1256666666666666,,,0.7165511225308253,0.9759580047333056,0.0544696195660511,0.582326248943394
chronos2,chronos2,Housing_Inventory/M,0.7746001702407476,1,4,0.25,0.345142258661662,0.626244546624891,0.0780137277454174,0.0453973462351454,0.2498852068684846,0.9744505045887796,0.8213549586667099,1.0042327530563897,3.6602693835470697,-1.793161632882802,2.334184449895818,0.903365031574334,0.9884476283174484,0.0013023175155051,0.4129068117195748,0.7473863142476402,1.1132809380563575,0.2178703075947912,0.6820902011509982,4.540365563227116,0.9113810484116948,0.4754580780569006,4.140969811569905e-07,317594.43421052635,89808.77235410547,0.0,114.0,12.0,,,0.133,,,0.859017074375452,0.9999999924291724,0.0453367427704364,0.6347846031916871
chronos2,chronos2,JOLTS/M,0.5364326507424232,1,6,0.3333333333333333,0.5312061411452004,0.3376682229631464,0.0388597769030851,0.0527010546524052,0.1430763515062122,0.8222173751279273,0.4955408258208811,0.9315841909435392,0.0214049314339944,4.022959699285693,3.3919934088425125,0.8144743099998802,0.9599244786936256,0.0195436559920515,0.4347264113344411,0.126210485781962,0.15609313648079,-0.3744828135786726,0.8877172330087507,35.725998316292845,0.792875087197143,0.2210628482959016,7.592535490998698e-06,3458.517396184063,876.7158976641371,0.0,297.0,12.0,,,0.0876666666666666,,,0.7430533440981711,0.7389844821033507,0.1135755179066791,0.5318711147027336
chronos2,chronos2,Job_Claims/W,1.1552232026779394,1,2,0.0,0.3714426370688207,0.4808174175554188,0.1444103514045958,0.0371855917971309,0.2208044535857152,0.9179286483425608,0.8043191342205236,0.9272916484827132,0.0357162532888695,8.562170307683413,0.2688493731970273,0.1979345568117566,0.2296875654774147,0.000942113633126,0.6297972336678581,0.5215317805921887,0.951179038096519,0.0368732335776798,0.7505785367611622,0.2537329706024138,0.989058726296512,0.4165941340756025,6.799337127579535e-07,973335.4591836734,93678.0537563198,0.0,196.0,8.5,52.0,8.5,0.092,0.0705,0.052,0.9733371031009374,0.8396217895876084,0.0148020193901672,0.609253637359571
chronos2,chronos2,MetroPT-3/5T,0.7439425755724148,1,6,1.0,0.7584200904351467,0.0364189385240053,0.0278290072675164,0.0851748595835157,0.0498076017916791,0.6126488857390563,1.0183443228611462,0.8223415492276133,0.0009555192692803,-10.532144947009336,8.133118525951074,0.1841049970596643,0.00265411138753,0.0127418430635285,0.7200344104600948,-0.1144831718728755,0.415917668518433,-0.3566009249851993,0.894380005878467,18.60436883329268,0.8715414623784054,0.1732079275477974,6.971330620186294e-09,14.372988938108524,1.6998473733362025,0.1710932674490426,17809.0,12.0,216.0,216.0,0.0388333333333333,0.0131666666666666,0.0105,0.9818892940083735,0.997704754898176,0.0928729413988485,0.6908223301017994
