feature,model,spearman_rho,datasets
period1,mean_absolute,0.12096353768462033,50
period2,chronos2,-0.429389754208687,39
period2,chronos_bolt,-0.33179656721247136,39
period2,seasonal_naive,,39
period2,ts_icl,-0.3675706014904196,39
period2,mean_absolute,0.37625230763719264,50
period3,chronos2,-0.10876297794936168,39
period3,chronos_bolt,0.010136344636473595,39
period3,seasonal_naive,,39
period3,ts_icl,-0.07166395657986832,39
period3,mean_absolute,0.06352109305523453,50
p_strength1,chronos2,-0.10751500600240095,50
p_strength1,chronos_bolt,-0.09483793517406962,50
p_strength1,seasonal_naive,,50
p_strength1,ts_icl,-0.15860744297719087,50
p_strength1,mean_absolute,0.12032012805122048,50
p_strength2,chronos2,0.060121457489878544,39
p_strength2,chronos_bolt,0.28360323886639677,39
p_strength2,seasonal_naive,,39
p_strength2,ts_icl,0.11153846153846154,39
p_strength2,mean_absolute,0.15175438596491228,50
p_strength3,chronos2,0.03502024291497976,39
p_strength3,chronos_bolt,0.16842105263157894,39
p_strength3,seasonal_naive,,39
p_strength3,ts_icl,0.1105263157894737,39
p_strength3,mean_absolute,0.10465587044534413,50
spatial_location_heterogeneity,chronos2,-0.13489891048152147,50
spatial_location_heterogeneity,chronos_bolt,0.016856360832685668,50
spatial_location_heterogeneity,seasonal_naive,,50
spatial_location_heterogeneity,ts_icl,-0.09244585356957238,50
spatial_location_heterogeneity,mean_absolute,0.08140037496125983,50
spatial_scale_heterogeneity,chronos2,0.047207415095527096,50
spatial_scale_heterogeneity,chronos_bolt,0.07333237319518808,50
spatial_scale_heterogeneity,seasonal_naive,,50
spatial_scale_heterogeneity,ts_icl,0.03789079400851564,50
spatial_scale_heterogeneity,mean_absolute,0.05281019409974361,50
spatial_frequency_heterogeneity,chronos2,0.023387600357600912,50
spatial_frequency_heterogeneity,chronos_bolt,-0.01118955006842097,50
spatial_frequency_heterogeneity,seasonal_naive,,50
spatial_frequency_heterogeneity,ts_icl,-0.0969600926529697,50
spatial_frequency_heterogeneity,mean_absolute,0.0438457476929972,50
spatial_heterogeneity,chronos2,-0.036257984127286834,50
spatial_heterogeneity,chronos_bolt,0.03452912660598574,50
spatial_heterogeneity,seasonal_naive,,50
spatial_heterogeneity,ts_icl,-0.029246506402010174,50
spatial_heterogeneity,mean_absolute,0.03334453904509425,50
